responseId,startTime,endTime,testType,activityPoints,dfs01,dfs02,dfs03,dfs04,dfs05,dfs06,dfs07,dfs08,dfs09,dfsPreMean,motivationPos01,motivationPos02,motivationPos03*,motivationPos04,motivationPos05,motivationPos06,motivationPos07*,motivationPos08,motivationPos09,motivationPos10,motivationPos11,motivationPos12*,motivationPos13,motivationPos14,motivationPos15*,motivationPos16,motivationPos17,motivationPos18,motivationPos19*,motivationPos20,motivationPos21,motivationPos22*,motivationPos23,motivationPos24,motivationPos25,motivationPos26*,motivationPos27,motivationPos28,motivationPos29*,motivationPos30,motivationPos31*,motivationPos32,motivationPos33,motivationPos34*,motivationPos35,motivationPos36,attention,relevance,confidence,satisfaction,motivationPostSum,fss01,fss02,fss03,fss04,fss05,fss06,fss07,fss08,fss09,flowPosMean,gender,condition,age,ethnicity,city,civilState,universityEducation,institucion,educationLevel,conclusion
e0a45680-9be3-11eb-8bc5-d17adb29b9cd,1618268220773,1618268763924,stMale,18,5,2,3,4,4,3,3,2,3,"3,222222222",4,2,5,2,3,2,4,2,1,1,1,5,4,3,3,2,4,2,4,2,2,3,2,3,4,2,2,4,5,4,5,3,2,2,2,2,73,18,31,15,103,5,5,5,5,1,1,2,2,5,"3,444444444",Homem,inBoost,24,Negro,Maceió,Solteiro(a),Sim,UFAL,Graduação,2022
36b9ff20-9be4-11eb-8bc5-d17adb29b9cd,1618268364929,1618268897213,stFemale,17,2,4,3,3,5,2,4,5,4,"3,555555556",3,4,3,,3,3,4,4,4,4,2,5,4,5,5,4,4,3,4,4,4,4,3,3,3,4,3,2,4,3,3,4,3,5,3,3,70,31,29,22,126,4,5,4,3,3,3,3,2,4,"3,444444444",Não binário,,34,Pardo,Salvador,Solteiro(a),Sim,Universidade Salvador,Outros,2021
f397a8e0-9be9-11eb-8bc5-d17adb29b9cd,1618270731298,1618271348424,stMale,19,5,4,5,4,5,4,5,3,4,"4,333333333",3,2,3,2,4,2,5,3,1,2,1,4,4,2,3,2,2,1,3,2,2,5,1,3,5,4,4,1,3,1,5,5,3,5,2,4,59,17,32,21,104,5,5,5,2,3,5,4,5,5,"4,333333333",Homem,inBoost,21,Branco,Maceió,Solteiro(a),Sim,UFAL,Graduação,
b701f230-9beb-11eb-8bc5-d17adb29b9cd,1618271202352,1618272045615,stMale,13,2,1,2,2,4,3,4,5,3,"2,888888889",3,3,4,3,4,2,1,3,1,5,3,1,4,5,1,3,3,1,3,3,4,2,3,4,3,4,2,5,3,5,1,5,4,1,4,5,64,28,26,25,111,4,3,2,4,4,3,3,4,3,"3,333333333",Mulher,inThreat,22,Branco,Maceió,Prefiro não Responder,Sim,UFAL,Graduação,2021
c9456440-9beb-11eb-8bc5-d17adb29b9cd,1618271419414,1618272146161,default,16,4,2,3,4,4,4,4,4,4,"3,666666667",4,4,1,5,5,5,3,5,2,4,5,5,5,5,5,5,3,4,2,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,4,4,81,39,33,29,158,5,4,4,4,4,5,4,5,5,"4,444444444",Homem,control,22,Branco,Maceió,Casado(a),Sim,UFAL,Graduação,2022
f8c7b6f0-9beb-11eb-8bc5-d17adb29b9cd,1618270775093,1618271972751,default,18,3,4,4,2,3,2,3,5,4,"3,333333333",3,4,3,3,4,4,4,4,2,3,3,4,3,4,4,4,4,3,5,5,4,3,3,3,4,4,4,3,3,3,5,4,3,3,4,4,64,29,32,24,130,4,3,4,4,2,4,4,4,4,"3,666666667",Homem,control,20,Branco,"Agrestina, PE",Solteiro(a),Sim,UFAL,Graduação,2024
f7ef3bd0-9bec-11eb-8bc5-d17adb29b9cd,1618282611205,1618283276310,default,15,5,3,4,5,3,4,3,4,5,4,5,5,1,5,4,3,1,5,1,5,3,4,5,5,5,3,5,3,1,5,5,4,5,3,3,4,5,3,5,3,5,5,3,1,3,5,68,30,25,29,136,5,1,4,5,5,5,4,4,5,"4,222222222",Mulher,control,24,Branco,Natal,Solteiro(a),Sim,UnP,Outros,2022
c2566720-9bf4-11eb-8bc5-d17adb29b9cd,1618275374033,1618275948261,stFemale,14,4,3,4,4,3,4,5,2,3,"3,555555556",4,5,3,4,5,3,1,4,4,4,5,4,5,4,3,4,5,3,3,5,4,3,4,4,5,3,5,5,2,4,4,4,4,3,5,5,81,33,33,27,142,5,5,4,2,3,4,5,5,4,"4,111111111",Homem,inThreat,22,Pardo,Maceio,Solteiro(a),Sim,UFAL,Outros,2023
9c28c4f0-9c01-11eb-8bc5-d17adb29b9cd,1618281083433,1618281542651,stMale,17,4,3,4,3,3,3,1,4,3,"3,111111111",4,4,3,4,4,2,3,4,2,5,2,3,4,4,4,4,4,2,4,3,4,3,3,4,3,3,5,4,3,4,5,4,4,4,4,4,72,29,33,25,130,5,2,4,4,3,5,5,4,3,"3,888888889",Não binário,,21,Branco,Maceió,Solteiro(a),Sim,UFAL,Graduação,2022
b2a33480-9c02-11eb-8bc5-d17adb29b9cd,1618274292216,1618281973943,stFemale,14,3,2,2,1,3,2,2,5,2,"2,444444444",4,4,3,2,5,2,5,3,1,4,3,4,1,4,2,5,4,1,4,5,3,2,4,3,4,3,5,1,2,1,5,5,3,1,4,3,61,24,28,25,115,5,3,5,5,1,5,4,5,3,4,Mulher,inBoost,22,Branco,Maceió,Solteiro(a),Sim,UFAL,Graduação,19
